critical,categori,lokasi_spku,periode_data,tanggal,pm_10,pm_duakomalima,so2,co,o3,no2,max,bulan,hari_dalam_tahun,musim,categori_encoded
"PM2,5",TIDAK SEHAT,DKI4,202212,2022-12-20,85,154,54,23,29,47,154,12,354,Hujan_Puncak,2
"PM2,5",SEDANG,DKI3,202212,2022-12-21,57,86,62,45,27,32,86,12,355,Hujan_Puncak,1
"PM2,5",SEDANG,DKI4,202212,2022-12-22,49,65,59,49,23,24,65,12,356,Hujan_Puncak,1
SO2,SEDANG,DKI2,202212,2022-12-23,31,40,57,38,24,18,57,12,357,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202212,2022-12-24,58,92,57,55,26,24,92,12,358,Hujan_Puncak,1
SO2,SEDANG,DKI2,202212,2022-12-25,42,56,57,45,25,18,57,12,359,Hujan_Puncak,1
"PM2,5",SEDANG,DKI2,202212,2022-12-26,43,62,58,54,25,27,62,12,360,Hujan_Puncak,1
SO2,SEDANG,DKI2,202212,2022-12-27,36,47,58,42,20,18,58,12,361,Hujan_Puncak,1
"PM2,5",SEDANG,DKI3,202212,2022-12-28,46,66,57,41,15,19,66,12,362,Hujan_Puncak,1
SO2,SEDANG,DKI2,202212,2022-12-29,23,50,57,12,16,15,57,12,363,Hujan_Puncak,1
"PM2,5",SEDANG,DKI4,202212,2022-12-30,40,64,57,21,17,24,64,12,364,Hujan_Puncak,1
"PM2,5",SEDANG,DKI4,202212,2022-12-31,54,73,56,24,23,24,73,12,365,Hujan_Puncak,1
